Resetting Python state.
Running C:\Users\Shell\Python\AOC2018-master\AdventOfCode2018\AdventOfCode2018.py
The interactive Python process has exited.
40 1
60 1
80 1
100 1
120 1
140 1
160 1
180 1
200 1
220 1
240 1
260 1
280 1
302 1
349 1
349 1
363 1
363 1
377 1
377 1
391 1
391 1
405 1
405 1
411 1
411 1
417 1
417 1
423 1
423 1
429 1
429 1
435 1
435 1
441 1
441 1
447 1
447 1
455 1
505 1
505 1
505 1
523 1
523 1
523 1
541 1
541 1
541 1
559 1
559 1
559 1
577 1
577 1
577 1
595 1
595 1
595 1
613 1
613 1
613 1
631 1
631 1
631 1
649 1
649 1
649 1
667 1
667 1
667 1
687 1
731 1
731 1
731 1
731 1
744 1
744 1
744 1
744 1
757 1
757 1
757 1
757 1
770 1
770 1
770 1
770 1
783 1
783 1
783 1
783 1
796 1
796 1
796 1
796 1
809 1
809 1
809 1
809 1
822 1
822 1
822 1
822 1
835 1
835 1
835 1
835 1
848 1
848 1
848 1
848 1
861 1
861 1
861 1
861 1
876 1
906 2
926 2
944 1
944 1
944 1
944 1
944 1
944 2
948 2
954 1
954 1
954 1
954 1
954 1
954 2
958 2
964 1
964 1
964 1
964 1
964 1
964 2
968 2
974 1
974 1
974 1
974 1
974 1
974 2
978 2
984 1
984 1
984 1
984 1
984 1
994 1
994 1
994 1
994 1
994 1
1008 1
1008 1
1008 1
1008 1
1008 1
1022 1
1022 1
1022 1
1022 1
1022 1
1038 1
1083 1
1083 1
1083 1
1083 1
1083 1
1083 1
1101 1
1101 1
1101 1
1101 1
1101 1
1101 1
1105 1
1105 1
1105 1
1105 1
1105 1
1105 1
1109 1
1109 1
1109 1
1109 1
1109 1
1109 1
1113 1
1113 1
1113 1
1113 1
1113 1
1113 1
1117 1
1117 1
1117 1
1117 1
1117 1
1117 1
1121 1
1121 1
1121 1
1121 1
1121 1
1121 1
1125 1
1125 1
1125 1
1125 1
1125 1
1125 1
1129 1
1129 1
1129 1
1129 1
1129 1
1129 1
1135 1
1167 2
1189 2
1209 1
1209 1
1209 1
1209 1
1209 1
1209 1
1209 1
1209 2
1214 2
1219 1
1219 1
1219 1
1219 1
1219 1
1219 1
1219 1
1219 2
1224 2
1229 1
1229 1
1229 1
1229 1
1229 1
1229 1
1229 1
1229 2
1234 2
1239 1
1239 1
1239 1
1239 1
1239 1
1239 1
1239 1
1249 1
1249 1
1249 1
1249 1
1249 1
1249 1
1249 1
1266 1
1266 1
1266 1
1266 1
1266 1
1266 1
1266 1
1283 1
1283 1
1283 1
1283 1
1283 1
1283 1
1283 1
1300 1
1300 1
1300 1
1300 1
1300 1
1300 1
1300 1
1319 1
1368 1
1368 1
1368 1
1368 1
1368 1
1368 1
1368 1
1368 1
1384 1
1384 1
1384 1
1384 1
1384 1
1384 1
1384 1
1384 1
1400 1
1400 1
1400 1
1400 1
1400 1
1400 1
1400 1
1400 1
1406 1
1406 1
1406 1
1406 1
1406 1
1406 1
1406 1
1406 1
1412 1
1412 1
1412 1
1412 1
1412 1
1412 1
1412 1
1412 1
1418 1
1418 1
1418 1
1418 1
1418 1
1418 1
1418 1
1418 1
1424 1
1424 1
1424 1
1424 1
1424 1
1424 1
1424 1
1424 1
1430 1
1430 1
1430 1
1430 1
1430 1
1430 1
1430 1
1430 1
1436 1
1436 1
1436 1
1436 1
1436 1
1436 1
1436 1
1436 1
1442 1
